| filename         | theorem name                | nesting depth | dir rep_macro | log rep | crash invariant  | xcrash |
| FileRecArray.v   | ifind_ok                    |             3 | no            | yes     | Log.rep          |        |
| FileRecArray.v   | get_array_ok                |             4 | no            | yes     | Log.rep          |        |
| FileRecArray.v   | put_array_ok                |             4 | no            | yes     |                  |        |
| FileRecArray.v   | extend_array_ok             |             4 | no            | yes     |                  |        |
| FileRecArray.v   | ifind_array_ok              |             3 | no            | yes     | Log.rep          |        |
| Dir.v            | lookup_ok                   |             1 | yes           | yes     | Log.rep          |        |
| Dir.v            | readdir_ok                  |             1 | yes           | yes     | Log.rep          |        |
| Dir.v            | unlink_ok                   |             1 | yes           | yes     |                  |        |
| Dir.v            | link_ok                     |             1 | yes           | yes     |                  |        |
| DirName.v        | lookup_ok                   |             1 | yes           | yes     | Log.rep          |        |
| DirName.v        | readdir_ok                  |             1 | yes           | yes     | Log.rep          |        |
| DirName.v        | unlink_ok                   |             1 | yes           | yes     |                  |        |
| DirName.v        | link_ok                     |             1 | yes           | yes     |                  |        |
| DirTree.v        | namei_ok                    |             1 | no            | yes     |                  |        |
| DirTree.v        | mkdir_ok                    |             1 | no            | yes     |                  |        |
| DirTree.v        | mkfile_ok                   |             1 | no            | yes     |                  |        |
| DirTree.v        | delete_ok                   |             1 | no            | yes     |                  |        |
| DirTree.v        | rename_ok                   |             1 | no            | yes     |                  |        |
| DirTree.v        | read_ok                     |             2 | no            | yes     |                  |        |
| DirTree.v        | dwrite_ok                   |             2 | no            | yes     | Log.recover_any  |        |
| DirTree.v        | datasync_ok                 |             1 | no            | yes     | Log.recover_any  |        |
| DirTree.v        | sync_ok                     |             1 | no            | yes     | Log.recover_any  |        |
| DirTree.v        | sync_noop_ok                |             1 | no            | yes     | Log.recover_any  |        |
| DirTree.v        | truncate_ok                 |             1 | no            | yes     |                  |        |
| DirTree.v        | getlen_ok                   |             1 | no            | yes     |                  |        |
| DirTree.v        | getattr_ok                  |             1 | no            | yes     |                  |        |
| DirTree.v        | setattr_ok                  |             1 | no            | yes     |                  |        |
| AsyncFS.v        | mkfs_ok                     |             0 | no            | no      | any              |        |
| AsyncFS.v        | recover_ok                  |             0 | no            | yes     | Log.before_crash |        |
| AsyncFS.v        | file_getattr_ok             |             1 | no            | yes     | Log.idempred     |        |
| AsyncFS.v        | read_fblock_ok              |             2 | no            | yes     | Log.idempred     |        |
| AsyncFS.v        | file_set_attr_ok            |             1 | no            | yes     | Log.idempred     |        |
| AsyncFS.v        | file_truncate_ok            |             1 | no            | yes     | Log.idempred     |        |
| AsyncFS.v        | update_fblock_d_ok          |             2 | no            | yes     | Log.idempred     |        |
